site	sampling.time	diff.solar.noon	landuse	order	Q	canopy	Temp	cond	pH	turb	Alk	TSS	PO4	NH4	NO2	NO3	Br	Cl	Fl	SO4	Na	K	Ca	Mg	TDN	SUVA254	slope	slope_short	SR_Helms	E2.to.E3	E4.to.E6	FIX	FIX2	HIX	beta.alpha	X7c_c1	X7c_c2	X7c_c3	X7c_c4	X7c_c5	X7c_c6	X7c_c7	humF.to.protF	humF.per.DOC	protF.per.DOC	DIC.d13C	pCO2	EpCO2
Na30	5:21	431.92	A	2	1.366	0.3	15.4	157.7	7.7	206.5	190	110.4	1.51E-06	3.21E-05	2.48E-06	0.000317076	1.16E-06	0.000151976	3.78E-05	2.23E-05	0.000555067	0.00020909	6.87E-05	4.09E-05	3.52E-04	4.407106991	0.016304674	0.002154306	0.046660403	11.44036697	1	1.457094489	1.789982695	0.139530653	0.73889964	2.25427531	0.241959594	0.500499579	0.097113058	0.133817432	0.287940216	0.773836103	0.356590076	0.217750569	0.610646745	NA	NA	NA
Na32	18:34	361.08	A	1	0.32	0.4	15.4	194.6	7.49	0.87	1270	22.37288136	1.77E-06	5.00E-05	1.06E-05	0.000200632	1.26E-06	0.000172172	4.38E-05	3.44E-05	0.000625837	0.00020932	0.000165577	6.97E-05	2.61E-04	1.605177994	0.016488821	0.006155694	0.215221633	8.774193548	2.666666667	1.371923077	1.7999545	0.452218472	0.706863792	0	0.665571521	0.73541028	0.276064203	1.840832804	0.406825277	0.428982201	0.918079789	0.337196	0.367283981	NA	NA	NA
Na33	18:44	371.08	A	1	3.584	0.4	15.4	170.9	7.63	97.05	1020	58.25688073	2.48E-06	2.64E-05	6.46E-06	0.000414038	1.30E-06	0.000201986	3.63E-05	3.34E-05	0.000822401	0.000248146	0.000181671	8.68E-05	4.47E-04	2.543650794	0.015912471	0.023356118	1.610024224	5.936363636	4.285714286	1.371055714	1.81391118	0.22005128	0.736450526	2.114514186	0.557880954	0.504972907	0.187478804	0.567714653	0.293130831	0.635274955	0.465248449	0.306242757	0.65823488	-7.701036985	1573.572192	4.066078014
Na35	14:05	90.08	A	1	0.82	0.3	16.3	150.7	7.69	40.35	1210	60.22099448	1.12E-06	2.00E-05	3.91E-07	0.000126814	1.04E-06	0.000134037	5.36E-05	2.47E-05	0.001157764	0.000136605	0.000106692	5.32E-05	1.47E-04	2.580645161	0.013279634	0.013379921	0.849894591	4.642857143	3.888888889	1.310083282	1.732392584	0.729515068	0.760014026	0.01742798	0.422955196	0.3725705	0.167211339	0.070441465	0.246395975	0.185184855	4.428177875	0.250027504	0.056462841	-7.95000984	1753.956674	4.532187788
Na37	16:15	220.08	A	1	1.632	0.2	16.3	97.7	7.95	136	650	88.08290155	1.80E-06	1.36E-05	2.00E-06	0.000191262	8.89E-07	0.000134065	2.65E-05	2.07E-05	0.000367595	0.000186301	0.000130795	6.22E-05	2.07E-04	2.969798658	0.015610399	0.020026325	1.217232703	6.055555556	3	1.40532113	1.817038484	0.329408521	0.695730289	1.41981173	0.657376733	0.514335811	0.226616919	0.450221037	0.346554407	0.369422534	0.77915548	0.487942917	0.62624589	-1.308404494	455.1456016	1.176086826
Na38	16:41	246.08	A	2	5.643	0.2	16.8	79.4	7.65	62.9	650	75.38461538	3.48E-07	1.57E-05	5.65E-07	0.000136298	8.01E-07	9.93E-05	2.03E-05	1.81E-05	0.000427316	0.000114686	8.86E-05	4.30E-05	1.53E-04	3.275641026	0.013091962	0.012806282	0.849025157	4.495798319	3.875	1.369490399	1.712771294	0.706679074	0.666155205	0.034864001	0.351796774	0.258285888	0.142553788	0.075643086	0.188399949	0.173607652	3.312170295	0.30161423	0.091062416	-6.519222598	880.7859241	2.27593262
Na50	12:01	35.22	A	1	0.616	0.7	17.3	118.5	8.01	24.25	520	56.15384615	2.01E-06	1.57E-05	2.11E-06	0.000379846	1.09E-06	0.000157279	2.97E-05	1.72E-05	0.000598869	0.000182644	0.000116273	5.85E-05	3.98E-04	2.820512821	0.013077377	0.01160633	0.808296107	4.347107438	4.125	1.311876101	1.659712592	0.762703197	0.66051021	0.015604871	0.317330215	0.235639625	0.153029745	0.05270439	0.169985622	0.106973516	4.997554363	0.249568435	0.049938113	-8.55993338	367.1268816	0.948648273
Na52	13:45	68.28	A	1	1.365	0.6	15.7	102.8	7.72	91.95	540	88.18181818	2.10E-06	2.86E-06	3.69E-07	0.000302255	9.14E-07	0.000147237	2.55E-05	1.85E-05	0.000459809	0.000163768	0.000114327	5.48E-05	3.05E-04	3.34045584	0.013409466	0.01204354	0.782426525	4.518181818	25	1.337756372	1.682392438	0.694681452	0.631988986	0.033242295	0.224631662	0.171120552	0.108484881	0.03980091	0.12512265	0.122040999	3.226092795	0.224130963	0.069474432	-7.315871589	631.9329097	1.632901575
Na53	14:45	127.88	A	1	1.4355	0.3	16.3	115.11	7.85	24.1	790	57.69230769	2.04E-06	2.14E-05	2.41E-06	0.000218502	1.01E-06	0.000158633	2.73E-05	1.99E-05	0.000467769	0.000214052	0.000150357	7.15E-05	2.42E-04	2.839647914	0.014530916	0.017901022	1.143672227	5.314685315	3.5	1.394315306	1.787345981	0.263864353	0.718930148	2.645117322	0.827814381	0.648925403	0.304450347	0.075103573	0.448551512	1.162578891	0.574261297	0.426663154	0.74297738	NA	751.1476827	1.940950085
Na54	15:25	167.88	A	1	3.11	0.4	17.2	124.9	7.63	1000	420	49.31034483	2.41E-06	5.14E-05	8.02E-06	0.000253935	1.48E-06	0.000227061	3.82E-05	2.37E-05	0.00074341	0.000241905	0.000100903	6.09E-05	3.13E-04	2.976449275	0.013712226	0.0192233	1.428352905	4.78	4.9	1.361593626	1.744075801	0.205699921	0.717293641	5.740211678	1.282332256	1.043585361	0.524172518	0.749399872	0.723529512	2.168505486	0.412747903	0.323697432	0.784249732	-7.358323238	1227.47114	3.171760052
Na56	12:05	32.12	A	1	3.025	0.6	17.2	74.1	8.63	62.85	450	78.69565217	2.27E-06	1.93E-05	2.26E-06	0.000170715	7.01E-07	0.00013178	2.96E-05	1.59E-05	0.000364028	0.000130186	7.69E-05	4.38E-05	1.92E-04	2.300049677	0.01861596	0.031621889	1.586290134	8.290909091	5	1.420904435	1.822652291	0.092022046	0.776780837	4.061995041	0.348409744	0.388291182	0.115525378	0.33043878	0.181604634	1.574598305	0.173257143	0.256788609	1.482124224	-8.444461316	66.20212615	0.171064925
Na57	12:41	3.38	A	1	7.2	0.5	17.8	60.2	7.71	41.4	400	80.81632653	2.14E-06	1.21E-05	1.83E-06	0.00010909	6.76E-07	0.000106507	2.26E-05	1.11E-05	0.000277338	0.000110057	6.53E-05	3.69E-05	1.23E-04	2.573924731	0.013088248	0.01256102	0.794220508	4.455555556	4.2	1.392538306	1.774650878	0.720977405	0.664710698	0.021082272	0.227098829	0.168189965	0.090746059	0.03742315	0.129757576	0.101223694	3.855229681	0.206919499	0.053672418	-8.663689125	504.548979	1.303744132
Na58	13:35	57.38	A	1	4.72	0.2	17.9	76.1	7.54	27.7	500	38.36734694	5.27E-07	1.50E-05	1.98E-06	0.000159054	6.88E-07	8.10E-05	1.94E-05	1.92E-05	0.00041953	0.000128677	7.91E-05	4.60E-05	1.76E-04	3.077742279	0.01424519	0.01780033	1.143930749	5.051282051	26	1.321476512	1.648291023	0.320807061	0.667535794	1.32960743	0.575403462	0.486743854	0.223082527	0.31400256	0.300412139	0.380426918	0.783405666	0.422162402	0.538880966	-7.827677058	1004.716858	2.596167591
Na60	14:25	106.98	A	2	8.076	0.4	18	66.6	7.6	115.5	440	65.90909091	2.14E-06	2.36E-05	1.83E-06	0.000131911	6.51E-07	0.000117056	2.44E-05	1.29E-05	0.000307786	0.000129111	6.57E-05	3.69E-05	1.57E-04	2.679846238	0.014577855	0.020579538	1.412646578	5.265957447	4.166666667	1.330380662	1.64777347	0.175623501	0.725819909	2.565868134	0.465918612	0.443393775	0.182530554	0.133376638	0.24616046	1.319815542	0.332914487	0.367381494	1.103531113	-7.108605305	673.4394934	1.74015373
Na62	15:55	196.98	A	3	30.136	0.3	18	69.4	7.5	61.2	460	51.59010601	2.26E-06	1.07E-05	1.76E-06	0.000133991	6.63E-07	0.000109977	2.38E-05	1.43E-05	0.000316833	0.000133434	7.14E-05	4.15E-05	1.46E-04	2.994428969	0.013500854	0.017807223	1.28533328	4.659574468	3.636363636	1.359366403	1.685036357	0.316468318	0.665341886	1.478046626	0.624330922	0.483739436	0.233796836	0.367432469	0.315684733	0.364775145	0.749937223	0.384761357	0.513058087	NA	981.446962	2.536038661
Na63	16:45	246.98	A	2	6.272	0.2	18.1	86.6	7.3	29.05	570	124.0310078	6.00E-07	2.07E-05	3.85E-06	0.000188923	9.01E-07	0.000110795	2.27E-05	1.69E-05	0.000458025	0.000143	8.94E-05	4.52E-05	2.13E-04	2.593091072	0.013927436	0.017473549	1.181751668	4.860655738	3.555555556	1.363497639	1.817326933	0.358195999	0.696179881	1.284423002	0.65223812	0.531708875	0.255777896	0.281037623	0.350527921	0.358883196	0.930318581	0.401582057	0.431660794	-7.63408358	2032.407622	5.251699283
Nf13	14:03	90.48	F	3	10.32	0.6	14.3	136.9	7.88	0.02	1260	13.2	7.37E-07	2.86E-06	0.00000013	2.99E-05	5.26E-07	9.11E-05	2.62E-05	1.67E-05	0.000359548	0.000203923	4.71E-05	1.88E-05	3.29E-05	3.111648529	0.016600572	0.008868575	0.24590536	9.551724138	1	1.410428601	1.728985347	0.634192635	0.783749638	0.206684677	0.395924901	0.463878916	0.173624192	0.145116726	0.353418034	0.042727904	3.515191441	0.279493358	0.079510138	-11.39730068	1193.497353	3.083972489
Nf21	16:00	207.48	F	3	7.36	0.5	13.6	83.7	7.7	0.02	740	16.16666667	6.74E-07	1.71E-05	6.30E-07	3.30E-05	4.38E-07	7.86E-05	2.17E-05	2.03E-05	0.000389604	0.000136887	0.00012553	5.69E-05	5.07E-05	3.197411003	0.012641815	0.014067533	0.973038612	4.327731092	4.642857143	1.268644563	1.682687686	0.735096341	0.596760617	0	0.758774273	0.556981095	0.356615269	0.27668207	0.450687472	0.287525461	3.762902819	0.343536911	0.091295717	-10.10428262	976.1842305	2.522439872
Nf24	17:05	272.48	F	4	42.094	0.5	15.8	61.1	7.71	0.02	960	6.037735849	9.48E-07	1.71E-05	1.48E-06	0.000185053	2.63E-07	0.000230305	3.60E-05	1.94E-05	0.000470683	0.000153691	5.19E-05	2.90E-05	2.04E-04	3.216828479	0.017693143	0.016442692	0.490531765	11.53333333	3	1.229381123	1.560710099	0.655618439	0.60565244	0	0.455162558	0.355953039	0.237531229	0.499858048	0.272908612	0.090678912	2.237887766	0.427687844	0.191112285	-4.891347978	419.5069174	1.083997202
Nf25	17:05	272.48	F	1	0.12	0.6	14	115.6	8.14	7.52	1010	43.27868852	2.42E-06	1.29E-05	1.04E-06	2.50E-05	4.88E-07	0.000115646	2.74E-05	2.20E-05	0.000401914	0.000218758	0.000177554	7.85E-05	3.89E-05	3.314465409	0.01348921	0.016765673	1.130481056	4.808888889	5.272727273	1.296668236	1.61553687	0.222538119	0.691894052	2.980181068	0.700148327	0.596783117	0.335148355	0.195714823	0.397701509	1.267800989	0.456777625	0.319148004	0.698694478	-11.88432069	485.8666252	1.255469316
Nf26	12:05	27.92	M	2	2.638	0.7	12.9	85.1	8.02	3.02	620	39.4	2.64E-06	1.71E-05	5.21E-07	0.000198681	7.26E-07	0.000102869	2.91E-05	1.41E-05	0.000401218	0.000145941	9.57E-05	4.61E-05	2.16E-04	3.651612903	0.015039892	0.021984789	1.488774196	5.638157895	4	1.301587715	1.636867768	0.137115264	0.702751794	4.313592976	0.57324126	0.486591056	0.244195471	0.409347303	0.290822751	1.67945337	0.24910223	0.34297861	1.376858849	-9.623238469	349.0850494	0.902028552
Nf39	11:41	54.32	F	2	5.94	0.7	12.7	91.6	7.88	0.02	790	19.18128655	5.58E-07	1.86E-05	3.69E-07	2.27E-05	3.38E-07	6.30E-05	2.63E-05	1.65E-05	0.000513571	0.000172029	0.000113504	5.25E-05	4.17E-05	3.674093491	0.012417174	0.011689396	0.767817614	4.205741627	5.777777778	1.24088402	1.616744698	0.878722506	0.596256781	0	0.559101112	0.348197875	0.313811864	0.015695485	0.326601534	0.045473904	25.30207364	0.3380761	0.013361597	-11.24931784	750.2343047	1.938589935
Nf40	12:55	19.68	F	2	0.568	0.7	13.6	59.8	7.72	0.02	520	33.33333333	2.74E-07	7.85E-06	3.91E-07	3.33E-05	3.13E-07	5.70E-05	1.58E-05	1.56E-05	0.000283602	9.84E-05	8.83E-05	4.09E-05	4.15E-05	3.526170799	0.013003831	0.014979885	1.013844599	4.497560976	5.777777778	1.272514071	1.628950011	0.314659012	0.650066482	1.263691038	0.502876648	0.399878131	0.246212961	0.273307115	0.263423877	0.378514739	0.737343833	0.277920428	0.376921073	-12.41704148	655.8400256	1.694677069
Nf41	14:11	95.68	F	2	7.592	0.7	14.6	64.7	7.87	0.02	570	18.30985915	2.13E-06	1.64E-05	4.78E-07	2.51E-05	4.76E-07	8.60E-05	2.08E-05	1.46E-05	0.00022836	0.000131823	9.68E-05	4.55E-05	4.20E-05	3.143552311	0.012948003	0.013440902	0.848707468	4.470198675	5.142857143	1.291616942	1.584771046	0.873328381	0.621540028	0	0.561953031	0.367832278	0.276207464	0.02141437	0.313610888	0.043136123	23.54131766	0.369733251	0.015705716	-9.94159786	487.4296797	1.259508216
Nf42	15:11	155.68	F	1	1.632	0.9	14.5	75.2	7.66	0.02	620	11.83673469	1.78E-06	7.14E-06	0.00000013	2.66E-05	4.63E-07	6.82E-05	1.76E-05	1.36E-05	0.000208047	0.000148447	0.000134163	6.53E-05	3.39E-05	3.324432577	0.013030214	0.012842734	0.790910266	4.567251462	6.5	1.283108894	1.622912733	0.874687416	0.623274401	0	0.634896212	0.39114317	0.311474684	0.012787319	0.37103918	0.052428009	26.19864529	0.380185413	0.014511644	-12.68466629	956.970208	2.472791235
Nf43	16:11	215.18	F	2	8.676	0.7	14.1	67.7	7.78	0.02	580	17.28395062	2.39E-06	1.86E-05	3.26E-07	2.48E-05	4.13E-07	8.76E-05	2.08E-05	1.47E-05	0.000228534	0.00014456	0.00010497	5.27E-05	4.37E-05	3.526785714	0.012839566	0.012708564	0.809321355	4.428571429	4.666666667	1.281536158	1.621727783	0.864059593	0.62286452	0	0.600550497	0.403045797	0.304834347	0.035538508	0.335952893	0.055431132	18.07617942	0.407833218	0.022561915	-11.1831453	643.6957174	1.663296427
Nf45	14:09	93.18	F	4	363.56	0.6	16.6	51.9	8.53	0.02	470	13.80952381	1.92E-06	7.14E-07	1.41E-06	2.41E-05	2.63E-07	6.35E-05	2.02E-05	1.30E-05	0.00023184	9.49E-05	6.39E-05	3.39E-05	2.62E-05	2.737886748	0.013547788	0.018702829	1.28556049	4.702970297	3.375	1.284000509	1.646489093	0.239837852	0.672398136	1.378907245	0.38183682	0.349662002	0.148246623	0.330454613	0.187514796	0.365598371	0.514352143	0.311517875	0.605650972	-4.875904292	84.50950439	0.218370812
Nf46	14:03	87.18	F	3	189.8	0.7	16.2	51	8.2	0.02	490	10.28571429	0.000000137	1.36E-05	3.91E-07	2.05E-05	1.88E-07	4.11E-05	1.43E-05	1.92E-05	0.000300565	6.94E-05	5.76E-05	3.23E-05	3.45E-05	2.92616721	0.014460027	0.019254904	1.143805466	5.278846154	19	1.2610547	1.66152808	0.264411709	0.639889846	1.353169252	0.435193689	0.37414386	0.163970725	0.296957993	0.215281706	0.39203507	0.582025225	0.322635717	0.554332876	-6.220964164	213.3755787	0.551358084
Nf47	17:01	264.78	F	1	0.918	0.8	14.3	83	7.99	0.02	750	25.13513514	2.38E-06	5.00E-06	4.34E-07	2.40E-05	5.13E-07	0.000101204	2.42E-05	1.58E-05	0.000293084	0.000168602	0.00013057	6.12E-05	2.94E-05	3.237380058	0.012456487	0.011844568	0.786228617	4.207253886	5.444444444	1.248860727	1.615815941	0.84723242	0.637897598	0	0.543583057	0.364542706	0.287279735	0.026735689	0.328003579	0.08570215	13.54890036	0.317774109	0.023453867	-12.53960877	506.738611	1.309402096
Nf48	17:55	318.78	F	4	556.66	0.3	16.1	50.4	7.6	0.02	470	15.93495935	2.08E-06	1.07E-05	1.17E-06	2.03E-05	1.88E-07	6.85E-05	1.71E-05	1.50E-05	0.000231492	9.53E-05	6.40E-05	3.58E-05	3.22E-05	2.96474359	0.013249907	0.013230043	0.808573094	4.595238095	17	1.303128029	1.627557823	0.831448945	0.641588547	0	0.34517956	0.266875459	0.166738469	0.040274834	0.197803136	0.045579325	11.37506482	0.391264673	0.034396698	-4.893080164	736.0654076	1.901977797
Nm20	13:01	28.48	M	1	0.936	0.4	14.3	180.7	7.97	0.02	1430	14.07894737	8.00E-07	2.43E-05	2.60E-07	6.37E-06	1.75E-07	2.76E-05	1.69E-05	3.21E-06	0.000424793	0.000240319	0.000178751	8.47E-05	3.09E-05	2.227642276	0.015524927	0.012316555	0.506189002	6.875	16	1.305948601	1.711455545	0.759110323	0.734959615	0.170889057	0.690093739	0.657439329	0.308914723	0.05952364	0.549858636	0.011414703	9.123475781	0.224218133	0.024575955	NA	967.5305814	2.500079022
Nm29	16:31	238.08	M	2	14.7	0.5	16.5	135.7	7.68	114.5	950	90	1.41E-06	2.36E-05	4.06E-06	0.000243355	8.01E-07	9.93E-05	4.55E-05	1.67E-05	0.000432971	0.000125684	8.69E-05	4.37E-05	2.71E-04	2.683916794	0.017275566	0.009053989	0.234188782	11.85416667	1	1.582348574	1.822946966	0.14495308	0.655816084	1.044258404	0.196208865	0.264205766	0.034553015	1.184393108	0.216666902	0.213037665	0.291451735	0.180526268	0.619403647	-7.500694266	1269.896607	3.281386581
Nm31	17:55	322.08	M	4	58.268	0.2	15.4	107.8	7.76	12.95	860	38.18181818	1.16E-06	2.28E-05	1.91E-06	6.89E-05	5.26E-07	0.000103179	4.09E-05	1.95E-05	0.000384124	0.0001419	0.00010255	4.12E-05	9.36E-05	3.15213288	0.012707528	0.012749378	0.869347213	4.326732673	4.909090909	1.293867962	1.660560354	0.825966021	0.647152319	0	0.674028939	0.502164726	0.326667711	0.023962398	0.388700849	0.150496673	10.84244123	0.357033263	0.032929232	-8.230212497	1061.928218	2.744000564
Nm34	13:31	56.08	M	2	3.6936	0.5	13.7	73.7	7.49	0.02	770	17.63779528	1.00E-06	7.14E-06	1.28E-06	4.21E-05	4.51E-07	8.98E-05	2.16E-05	1.68E-05	0.000236059	0.000154842	0.000123384	5.97E-05	5.05E-05	3.346186804	0.01282591	0.012475708	0.833008107	4.434782609	5.444444444	1.284749498	1.605693075	0.813623434	0.631091425	0	0.648472213	0.466120467	0.323460817	0.075962137	0.383103629	0.134657302	8.646671621	0.390136488	0.045119846	-10.51012493	1267.650707	3.275583222
Nm36	15:01	146.08	M	2	3.822	0.5	16.6	96.1	7.69	102.45	860	61.86046512	5.27E-07	1.78E-05	1.15E-06	6.45E-05	6.88E-07	8.71E-05	2.57E-05	1.97E-05	0.000517007	0.000139061	0.000124832	6.06E-05	8.35E-05	2.749336367	0.013344194	0.013372726	0.845921803	4.701863354	4.875	1.285059748	1.704067912	0.805044728	0.677409352	0	0.722220218	0.5348144	0.301659364	0.083055556	0.415149698	0.144789998	8.663077446	0.374259325	0.04320166	-8.906425628	1236.218893	3.194364065
Nm49	12:02	34.72	M	2	3.74	0.3	16.1	92.5	7.7	36.75	580	52.69230769	1.03E-06	1.43E-05	1.22E-06	0.000251145	9.39E-07	8.27E-05	2.66E-05	1.87E-05	0.000472901	0.000146299	0.000101777	4.58E-05	2.67E-04	2.8422345	0.01510539	0.02033153	1.447514115	5.488372093	4	1.317282586	1.62129936	0.165187223	0.709973409	2.658311442	0.429401861	0.418865991	0.169254043	0.088569178	0.20918881	1.102353785	0.31868953	0.376522623	1.181471579	-9.456462976	746.4444897	1.928797131
